Ticker,Accounting_Assets,Accounting_Debt_D,Estimated_Shares_N,Market_Equity_Ve,Sigma_e,Calculated_Va,Calculated_Sigma_a,Distance_to_Default,Probability_of_Default,Probability_of_Default_BC
ADBE,224.489,317.708,1.0486511751811207,1.4928875213741883,0.6853466529742137,312.8537579620487,0.0036461480324932,1.2606414253694804,0.1037190332285906,1.0
AFIIQ,517.0,317.8,32.18093669767238,9.48694056660117,1.6145526287764438,290.2514686067408,0.1515936186818965,-0.5420075532538546,0.7060933487344137,1.0
AIV,226.0,122.0,271.8478364223779,132.06273860568393,0.184428313557861,251.64697674910803,0.0967868101557289,7.638668225600818,1.097400271859626e-14,2.240640150948619e-14
ALX,188.057,86.763,10.832020207228522,39.8533772185282,0.6122896417255833,124.67800721731324,0.2001501718941857,1.811260809820935,0.0350502445373609,0.07009632352929004
AME,492.987,465.633,27.904311782325436,35.40491484515776,0.3041472206155098,491.8169024727101,0.0219017563621977,3.400132979754211,0.0003367654425127,0.0009463676744363978
AP,191.941,208.81,0.1471907174799294,0.6132121642169996,0.2198963314881747,205.2884970658745,0.0006568485859053,4.554062128628244,2.63099021046023e-06,1.0
ASGXF,3632.0,1706.0,895.8139137528035,44.79069635507349,2.2045418340458736,993.1635455661444,0.4868710182022787,-1.313557491379326,0.9055024191150484,1.0
BBEPQ,4872.412,3466.517,250.96367916967145,48.38579742169737,1.3369803134289546,3382.7325735332124,0.0411327522660154,-0.1291539771064848,0.5513820939672053,1.0
BBY,716.6,484.0,142.5717405932467,192.7564151503547,0.5190113045292041,666.8082370148436,0.1515665004206945,2.1702117169524904,0.0149954054307945,0.030610746470902044
BLIAQ,1538.3,1853.0,0.8403360940467084,0.0462184849221292,1.4763424694442355,1816.2371478983089,0.0001056238941642,-0.3701168072020137,0.6443522701869006,1.0
BONTQ,1505.063,1527.844,0.8945343837058957,0.1340012529824981,1.591539975159518,1497.1904640847313,0.0004878518511221,-0.5480812027679987,0.7081819265465257,1.0
BSHVF,1026.878,1145.255,7.692307974459869,1.076923121009354,0.1211332932545115,1123.6543547189374,0.00011609552678,8.259269220689381,7.328350671652492e-17,1.0
CAL,1053.069,1003.2,10.616030912123222,46.39683757259105,0.2869721206446672,1029.731559999309,0.0129324591359617,3.5584594765787547,0.0001865181648699,0.0008174466166567358
CASY,364.329,294.231,63.36596043349554,174.9397693769674,0.4794170568645901,463.25032178496247,0.1816760178093283,2.517664711442992,0.0059067859491794,0.011887451187068807
CDVIQ,650.682,408.665,138.29542857142857,8.021134626337453,2.3856670753381883,193.53342635584465,0.5831339973878865,-1.539042723311023,0.9381030667404406,1.0
CLH,4366.804,3084.552,1578.1563076923076,1380.886769230769,1.0282472172270118,4263.083041059788,0.3872281673155627,0.693682394417106,0.2439407046399258,0.45202488098593774
CL,341.694,372.857,1.535386089216891,1.4310949339042969,0.2634931869544582,366.9050253217469,0.001027815686061,3.80178246465552,7.182941752963303e-05,1.0
CMLS,2412.691,2904.429,0.775193821373099,0.1163565869695556,1.3059406896630985,2846.887697705361,0.0001150740168906,-0.0908829284216955,0.5362071924025957,1.0
CMTV,1694.0,1458.0,61.501923364643,284.5011772810846,0.7371807851885918,1704.311659219969,0.1343623508477664,1.2434216503597553,0.1068562481118467,0.2227020276758773
CRMT,401.0,517.0,0.2608695868508369,0.8695652065745814,0.6417344711424542,507.609817103962,0.0011966152943266,1.3951730727070564,0.0814818274873852,1.0
CVOVQ,912.959,1502.116,0.1375515822040699,0.1939477263164591,1.1522556000792172,1472.4433661327753,0.0002651192000425,0.1824044057584065,0.4276326842564612,1.0
CWCO,243.628,318.935,0.3967288604907693,0.7105266368892507,0.79056963529594,313.27041263486603,0.0021516414639806,0.9653655955881576,0.1671808636681622,1.0
DXCM,2835.418,2794.809,14.99870740021332,61.23222267529324,0.3312499342035764,2800.6938384410564,0.0072504302309968,3.0449411824347488,0.0011636290914599,0.2019959833194352
DXLG,245.1,258.0,0.6666666666666666,3.0333334604899087,0.7760624401004237,255.70107076237224,0.010876212746407,1.0104931922522624,0.1561295297011136,1.0
EARN,844.917,533.156,99.53029144078737,358.58338072961965,0.2244679777799054,881.1821845404457,0.0913437516986664,5.673934812811192,6.977712721169974e-09,1.4382555376817632e-08
EP,298.835,224.963,92.33999862402678,55.4040013759732,2.529977665398484,109.90256760193878,1.8195801324282457,-1.292483692955695,0.9019051551890714,1.0
ESINQ,664.014,502.878,41.52989568228882,14.867703080023844,1.2852349232011138,493.2885455028846,0.0746556754037684,-0.027326027759085,0.5109001512663935,1.0
ET,1100.5,1053.224,5.772698745056865,25.118706895369197,0.43250075002549,1057.4491966410149,0.010379858567444,2.3073323032585997,0.0105181510021576,0.2234689667985915
EVI,1027.0,1126.76,3.0183667872024844,1.49999986506849,1.115518636467827,1105.1555342406923,0.0025206022312193,0.2525768149718196,0.400297624091131,1.0
EXK,1524.842,1462.751,15.679545303503266,68.99000083073234,0.568644491326968,1502.052308429592,0.0272883410181298,1.690873858885374,0.0454304484846837,0.14439395978491873
FBNC,9943.467,9634.839,322.77682067240426,384.4339991008493,0.5155583260111095,9826.361693559233,0.020733026964776,1.9036401180016536,0.0284785350989745,0.11046973273786842
FDLSX,218.732,229.818,3.771843395312292,1.0727825782961613,0.1504535980632379,226.34008128030771,0.0007131039183753,6.6620122748180775,1.3505173108128876e-11,1.0
FFDF,7451.0,7192.0,133.9694696413386,347.81025801947123,0.8677343810196178,7355.94168013583,0.0509557606884831,0.8093459111794379,0.2091581024428828,0.5488423222358733
FIX,265.622,247.856,8.30371344367732,26.68227480881327,0.6378971833450992,269.15228807286314,0.067259028251114,1.4892799952280695,0.0682068266484009,0.15626082823100934
FLG,3476.7,3047.0,232.8652702530196,834.1760899608196,0.2220187670370161,3820.84144189342,0.0484717254771083,5.057348683322778,2.1256275508337738e-07,4.6051738939431994e-07
FLSS,312.881,340.109,4.545454570084564,0.2272727318908554,1.729508544007172,332.0798682327673,0.0051962618597514,-0.7513378253525685,0.7737753147486912,1.0
FMNB,3435.545,3379.0,18.28856390304015,45.76761185051415,0.649078549486652,3356.6422036713284,0.0096427293373403,1.3808156217905372,0.0836678294896687,1.0
FRO,280.8,760.0,0.2005144539216857,0.7914470481812688,0.5948971530593589,745.7295215737361,0.0006715947445486,1.5549616046786652,0.0599776069547502,1.0
GBR,1327.798,1187.508,110.4645685881452,228.661649603155,1.7316250306761116,1021.2467231349516,0.6901508571024182,-0.5346467866004173,0.7035529377197683,1.0
GD,964.666,742.391,106.05911823474034,158.40422333724226,0.1967125252704016,886.0948965612547,0.0351656410704724,5.582997377888443,1.1820415539414988e-08,2.6330865790689394e-08
GHM,428.859,209.0,188.54696371696303,201.5374204127582,0.4674602844171642,406.36874321592205,0.2320863226029065,2.8351291537314163,0.0022903581444809,0.004540987500978059
GLBR,1039.024,1043.327,0.1129943454119862,0.1265536674002235,1.7486217996524778,1021.8762633227026,0.0009933357064757,-0.7799252045767584,0.7822825491028955,1.0
GNTX,1164.8,1307.0,0.230408536253754,0.9652952108272078,0.4017180422542322,1282.0841066596802,0.0003045067325756,2.471147861556905,0.0067340059735968,1.0
GOK,392.896,593.53,39.99999940395361,2.0,1.2029249817160472,582.206904652806,0.0076533019437171,0.0926193620767156,0.4631029805769306,1.0
GSIT,520.317,367.64,47.41521697001236,166.42741111255663,0.4709071541562124,526.6722350955167,0.1494756717475015,2.4639643310868378,0.0068704892533211,0.014015297749689567
GTX,2275.0,4408.0,0.0974206896513279,0.1908831899567617,1.1926768652379895,4320.761089614635,9.702081472376376e-05,0.1081039455722463,0.4569566191923224,1.0
HCSG,313.667,195.727,164.57006249771277,105.35971894659448,0.7179516852142463,295.8395672954612,0.2661096683051693,1.4944563968574045,0.0675281852163077,0.1317688564559265
HEI,211.77,204.165,17.813211785161563,11.08382971049196,0.3959893437304663,211.19939484510772,0.0208817708763071,2.5695221061229083,0.0050919447035139,0.01665121568740892
HGGG,385.352,263.998,58.625122663598624,11.725024707436203,1.3560164991008878,256.5647025556504,0.1245789466475983,-0.1310060832385735,0.5521147524230486,1.0
HOKUQ,502.593,405.776,806.8083513669059,33.07914331974408,2.291892052914961,179.52090251611915,1.0432383153166531,-1.284157900553406,0.9004566438743878,1.0
