Entreprise,Ticker
Intermark Inc.,MARK
Intermet Corp.,INTR
Internap Corporation,INAP
International American Homes Inc.,AIG
"International Fibercom, Inc.",IFCIQ
International Shipholding Corporation,ISH
International Wire Group Inc.,ITWG
Interstate Bakeries Corporation,IBC
"ION Media Networks, Inc.",TSLA
"iPCS, Inc.",IPCS
Iridium LLC (six omitted),IRDM
Irwin Financial Corporation,HLI
"IT Group, Inc.",NON_TROUVE
"ITC DeltaCom, Inc.",ITCD
Itel Corporation,INTC
"Ithaca Industries, Inc.",ITH
"ITT Educational Services, Inc.",ESINQ
"IWO Holdings, Inc.",IWO
"J. C. Penney Company, Inc.",JCP
"J. Crew Group, Inc.",JCREW
J.G. Wentworth Company,JGWE
Jackson Hewitt Tax Service Inc.,JTX
"Jacobson Stores, Inc.",NON_TROUVE
James River Coal Company,JRVR
Jamesway Corporation (1993),NON_TROUVE
"Jason Industries, Inc.",JASNQ
Jayhawk Acceptance Corp.,JACC
JCC Holding Co.,JCC
Jesup Group Inc.,YELP
"Jones Energy, Inc.",JONE
Journal Register Company,DJCO
JPS Textile Group Inc. (1991),US
"JPS Textile Group, Inc. (1997)",NON_TROUVE
"JumboSports, Inc.",NON_TROUVE
"Just For Feet, Inc.",BJ
JWP Inc.,JWP
Kaiser Aluminum Corp.,KALU
"Kaiser Group International, Inc.",KGHI
Kaiser Steel Corp.,AA
"Kash N Karry Food Stores, Inc.",NON_TROUVE
"Kasper A.S.L., Ltd.",KASPE
"KCS Energy, Inc.",KCS
KDT Industries Inc.,NON_TROUVE
"Kellstrom Industries, Inc.",KELLQ
"Kenetech Corp. (Kenetech Windpower, Inc. only)",US
"Kevco, Inc.",CVCO
"Key Energy Services, Inc.",GBR
Key Plastics L.L.C.,KEY
"Kimball Hill, Inc.",MMMMX
Kinder Care Learning Centers Inc.,AI
"KIT digital, Inc.",QUBT
"Kitty Hawk, Inc.",KHK
Kmart Corp.,KMRT
Koger Properties Inc.,KR
"Koll Real Estate Group, Inc.",KSS
"Komag, Inc.",KOMG
Laclede Steel Company (1998),NON_TROUVE
Ladish Co. Inc.,MM
"LandAmerica Financial Group, Inc.",LFGRQ
Laroche Industries Inc.,OBGRF
"Lason, Inc.",LWSOF
"Lazy Days R.V. Center, Inc.",LAZY
Leap Wireless International Inc.,T
Lear Corporation,LEA
"Leasing Solutions, Inc.",DOUG
"Lee Enterprises, Incorporated",LEE
Legacy Reserves Inc.,LGCY
Lehman Brothers Holdings Inc.,LEHLQ
"Leiner Health Products, Inc. (2002)",NON_TROUVE
"Leiner Health Products, Inc. (2008)",NON_TROUVE
Leisure Technology Inc.,FDLSX
"Lenox Group, Inc.",LII
Lernout & Hauspie Speech Products NV,LHSP
"Leslie Fay Companies, Inc.",LESL
Levitz Furniture Incorporated,BOBS
Libbey Inc.,LBY
Liberate Technologies,LBTE
"LifeCare Holdings, Inc.",DSP
Linens Holding Co.,ISFFF
"Linn Energy, LLC",LI
Lionel Corp. (1982),NON_TROUVE
Lionel Corp. (1991),LYB
Live Entertainment Inc.,LIVE
"Local Insight Regatta Holdings, Inc.",SVMH
LodgeNet Interactive Corporation,MM
"Lodgian, Inc.",LGIH
"Loewen Group, Inc.",LWN
Loews Cineplex Entertainment Corp,L
Logix Communications Enterprises Inc.,LOGIX
Lomas Financial Corp. (1989),LPLA
Lomas Financial Corp. (1995),NON_TROUVE
Lone Star Industries Inc.,LYTS
Lonestar Resources US Inc.,LONE
Loral Space & Communications Ltd.,LORL
"LRI Holdings, Inc.",LRI
"LSC Communications, Inc.",LKSD
LTV Corp. (1986),LTV
LTV Corp. (2000),LTV
"Luminent Mortgage Capital, Inc.",CSU
Lyondell Chemical Company,LYB
Magellan Health Services Inc.,MGLN
Magna Entertainment Corp.,MGA
MagnaChip Semiconductor LLC,MX
Magnum Hunter Resources Corporation,MHR
Majestic Capital Ltd.,MAJCQ
"Majestic Star Casino, LLC",NON_TROUVE
Mallinckrodt plc,MNK
Manville Corp.,BFFAF
"marchFIRST, Inc.",NON_TROUVE
"Mariner Post-Acute Network, Inc.",NON_TROUVE
Marion Corp.,REGN
"Marvel Entertainment Group, Inc.",MRVL
Mattress Firm Holding Corp.,MFRM
Maxicare Health Plans Inc.,MAXIQ
"Mayflower Group Inc. (MG Holdings, Inc.)",MG
McClatchy Company,TPCO
McCrory Corp.,MCO
"McDermott International, Inc.",MCDIF
McLean Industries Inc.,BBAI
McLeodUSA Incorporated (2005),MCLD
"McLeodUSA, Inc. (2002)",MCLD
McLouth Steel Corp.,US
Mcorp,M
MCSI Inc.,MSCI
"MediaNews Group, Inc. (Affiliated Media, Inc. only)",NON_TROUVE
"Medical Resources, Inc.",MRNA
"Mediq, Inc.",MEDIQ
"Megafoods Stores, Inc.",MEGA
"Melinta Therapeutics, Inc.",MLNT
Memorex Telex N.V. (1992),NON_TROUVE
Memorex Telex N.V. (1994),MEMXY
Memorial Production Partners LP,MEMP
"Mercantile Bancorp, Inc.",HBNC
Mercury Finance Company,MRCY
"Merisant Worldwide, Inc.",NON_TROUVE
Merry-Go-Round Enterprises Inc.,HOOD
"Meruelo Maddux Properties, Inc.",MMPIQ
"Mesa Air Group, Inc.",SKYW
"Metals USA, Inc.",USAR
"Metricom, Inc.",NON_TROUVE
"Metromedia Fiber Network, Inc.",NON_TROUVE
"Metropolitan Mortgage & Securities Co., Inc.",MET
MF Global Holdings Ltd.,MFI
MGF Oil Corp.,MGF
Michigan General Corporation (1987),ZVGNX
"MicroAge, Inc.",MLGO
"Mid-American Waste Systems, Inc.",GFL
"Midstates Petroleum Company, Inc.",MPO
Midway Airlines Corp (2001),NON_TROUVE
Midway Airlines Inc. (1991),MDWY
"Midwest Banc Holdings, Inc.",FMNB
Milacron Inc.,MZIA
"Milagro Oil & Gas, Inc.",US
"Miller Energy Resources, Inc.",CBSTF
MiniScribe Corp.,US0L6A
Mirant Corp.,NON_TROUVE
Mississippi Chemical Corp.,MSCC
"MMH Holdings, Inc.",MMH
MModal Inc.,MODD
MMR Holding Corp.,MMR
"Mobile Energy Services Holdings, Inc.",TUSK
"MobileMedia Communications, Inc.",NON_TROUVE
"Molten Metal Technology, Inc.",MOLT
"Molycorp, Inc.",MCP
Momentive Performance Materials Inc.,MP
Monaco Coach Corporation,MNC
Monarch Capital Corp.,MONAR
"Monitronics International, Inc.",SCTY
Montgomery Ward Holding Corp. (1997),NON_TROUVE
Montgomery Ward Holding Corp. (2000),NON_TROUVE
Morrison Knudsen Corp.,NON_TROUVE
Mortgage & Realty Trust (1990),ABR
Mortgage & Realty Trust (1995),FNORX
"Movie Gallery, Inc. (2007)",MOVI
"Movie Gallery, Inc. (2010)",NON_TROUVE
MPC Corporation,MPC
Mpower Holding Corp.,MPR
"MTS, Incorporated",MTS
Muzak Holdings LLC,NON_TROUVE
NACO Finance Corp.,NC
National Convenience Stores Inc.,CASY
"National Energy Group, Inc.",WTTR
National Equipment Services Inc.,NGS
National Gypsum Co.,ECOB
National Steel Corp.,STLD
"NationsRent, Inc.",NRI
"Nebraska Book Company, Inc.",NE
"Neenah Enterprises, Inc. (2010)",NENA
Neenah Foundry Company (2003),NON_TROUVE
Neff Corp.,NEFF
Neiman Marcus Group LTD LLC,MCS
"NetBank, Inc.",NET
Network Plus Corp.,NPLS
New American Healthcare Corp.,AHR
New Century Communications Inc.,CCS
New Century Financial Corporation,CYFL
New Source Energy Partners L.P.,NSLPQ
New Valley Corp.,NVEC
New World Pasta Co.,NON_TROUVE
"NewAge, Inc.",NBEV
"Newark Group, Inc.",NMRK
NewPage Corporation,CPLP
"NewPower Holdings, Inc.",NPWR
Nexity Financial Corporation,NXTYQ
"NII Holdings, Inc. (2014)",NIHD
Nobilis Health Corp.,NRTSF
Noble Corporation plc,NE
"Noble International, Ltd.",NE
Noranda Aluminum Holding Corporation,NORNQ
"Nortel Networks Corp. (Nortel Networks, Inc. only)",NTEL
"NorthPoint Communications Group, Inc.",NPNTQ
Northwest Airlines Corporation,NWA
NorthWestern Corporation,NWE
Northwestern Steel & Wire Co.,NON_TROUVE
"NRG Energy, Inc. (2002)",NRG
"NRG Energy, Inc. (2003)",NRG
"NTELOS, Inc.",NTLS
"NTK Holdings, Inc.",NTK
NTL Communications Corp.,NTL
Nucorp Energy Inc.,NUE
"Nu-kote Holding, Inc.",NU
"Nuverra Environmental Solutions, Inc.",NES
NVR LP,NVR
"O Brien Environmental Energy, Inc.",OBE
Oakwood Homes Corp.,O
Oasis Petroleum Inc.,OAS
"OCA, Inc.",OCA
Oglebay Norton Company,OGLE
"OnCure Holdings, Inc.",OKUR
Oneida Ltd.,ONFC
"OpTel, Inc.",OPTU
"Orbcomm Global, LP",ORBC
Orbital Imaging Corp.,OBTEF
Orchard Supply Hardware Stores Corporation,OSH
Orchids Paper Products Company,TIS
"Orexigen Therapeutics, Inc.",OREX
Orion Pictures Corp.,ORN
Orius Corp.,ORS
"Orleans Homebuilders, Inc.",OHBIQ
Outboard Marine Corporation,VMAR
Outsourcing Solutions Inc.,PAYX
"Overseas Shipholding Group, Inc.",OSG
Owens Corning,OC
"Oxford Automotive, Inc.",OXM
Oxford Energy Co.,XE
Oxoco Inc.,OXO
Pacific Drilling S.A. (2020),MSM
Pacific Gas & Electric Co. (2001),RYCGX
"Pacific Gateway Exchange, Inc.",PCG
"PacificAmerica Money Center, Inc.",PAMM
"Paging Network, Inc.",QCRH
"Palm Harbor Homes, Inc.",CVCO
Pan Am Corp.,GALOF
"Panolam Industries International, Inc.",NON_TROUVE
Paperweight Development Corp.,DFDV
Paracelsus Healthcare Corp.,NON_TROUVE
Paragon Offshore plc,PGN
Paragon Offshore plc (2017),PGNPQ
"Paragon Trade Brands, Inc.",PGNT
Parker Drilling Company,MTW
"Pathmark Stores, Inc.",PTMK
"Pathnet Telecommunications, Inc.",NON_TROUVE
Patriot Coal Corporation (2012),NON_TROUVE
Patriot Coal Corporation (2015),NON_TROUVE
"Patriot National, Inc.",PNBK
"Pay N Pak Stores, Inc.",PYPL
"Payless Cashways, Inc. (1997)",NON_TROUVE
"Payless Cashways, Inc. (2001)",NON_TROUVE
Peabody Energy Corporation,BTU
"Pegasus Gold, Inc.",PEGX
"Pegasus Satellite Communications, Inc.",PEGX
Penn Traffic Co (1999),NON_TROUVE
Penn Traffic Co (2003),NON_TROUVE
Penn Virginia Corporation,PVA
"PennCorp Financial Group, Inc.",NON_TROUVE
"Penn-Dixie Industries, Inc.",PENN
Pennsylvania Real Estate Investment Trust,PEI
"Penson Worldwide, Inc.",PNSN
Pentacon Inc.,PTAC
"Peregrine Systems, Inc.",PGID
Performance Sports Group Ltd.,EARN
"Perfumania Holdings, Inc.",PERFQ
Perkins & Marie Callenders Inc.,NON_TROUVE
Petrolane Gas Service LP,NON_TROUVE
Pettibone Corporation,NON_TROUVE
"PFF Bancorp, Inc.",PFFBQ
PG&E Corp. (Pacific Gas and Electric Co.) (2019),PCG
"PG&E National Energy Group, Inc.",PCG
"Phar-Mor, Inc. (2001)",PHAR
"PHI, Inc.",PHI
Philip Services Corp. (1999),AY
Philip Services Corp. (2003),PSCD
Phoenix Steel Corp.,VAHN
PHP Healthcare Corporation,PHPRF
"P-I-E Nationwide, Inc.",NBS
"Pier 1 Imports, Inc.",PJ
"Pierre Foods, Inc.",APFH
Pilgrims Pride Corporation,PPC
Pillowtex Corp. (2000),PTX
Pillowtex Corp. (2003),PTX
Pinnacle Airlines Corp.,MNSAF
"Pinnacle Holdings, Inc.",PNFP
"Pioneer Companies, Inc.",PPSI
Pioneer Energy Services Corp.,PPSI
Plaid Clothing Group Inc.,PLDIF
"Planet Hollywood International, Inc.",PLNH
Pliant Corporation (2006),PLRX
Pliant Corporation (2009),PLRX
"PMI Group, Inc.",PMIR
Polaroid Corp,PII
"Polymer Group, Inc.",NFYEF
"Pope & Talbot, Inc.",PTBTQ
"Powerwave Technologies, Inc.",PWAV
Premier Entertainment Biloxi LLC,NON_TROUVE
Presidio Oil Company,MRVL
Prime Motor Inns Inc.,INN
"Prime Succession, Inc.",NON_TROUVE
"Primus Telecommunications Group, Inc.",PTGI
ProMedCo Management Company,PMCOQ
"Propex, Inc.",OYY
PSINet Inc.,NON_TROUVE
Public Service Co of New Hampshire,PRMY
"Purina Mills, Inc.",GIS
"Pyxus International, Inc.",PYYX
Qintex Entertainment Inc.,NON_TROUVE
Quicksilver Resources Inc.,QSR
"Quiksilver, Inc.",QKS
Quorum Health Corporation,QHC
R H Macy & Co. Inc.,HGHIX
R.H. Donnelley Corporation,RH
RAAM Global Energy Company,NON_TROUVE
Radice Corp.,ABNB
RadioShack Corporation,RSH
