Price,Close,High,Low,Open,Volume
Ticker,AWSHX,AWSHX,AWSHX,AWSHX,AWSHX
Date,,,,,
2007-09-27,12.520944595336914,12.520944595336914,12.520944595336914,12.520944595336914,0
2007-09-28,12.477895736694336,12.477895736694336,12.477895736694336,12.477895736694336,0
2007-10-01,12.640157699584961,12.640157699584961,12.640157699584961,12.640157699584961,0
2007-10-02,12.626916885375977,12.626916885375977,12.626916885375977,12.626916885375977,0
2007-10-03,12.587176322937012,12.587176322937012,12.587176322937012,12.587176322937012,0
2007-10-04,12.63022518157959,12.63022518157959,12.63022518157959,12.63022518157959,0
2007-10-05,12.729575157165527,12.729575157165527,12.729575157165527,12.729575157165527,0
2007-10-08,12.676587104797363,12.676587104797363,12.676587104797363,12.676587104797363,0
2007-10-09,12.749439239501953,12.749439239501953,12.749439239501953,12.749439239501953,0
2007-10-10,12.70307731628418,12.70307731628418,12.70307731628418,12.70307731628418,0
2007-10-11,12.650094032287598,12.650094032287598,12.650094032287598,12.650094032287598,0
2007-10-12,12.67989730834961,12.67989730834961,12.67989730834961,12.67989730834961,0
2007-10-15,12.587176322937012,12.587176322937012,12.587176322937012,12.587176322937012,0
2007-10-16,12.511012077331543,12.511012077331545,12.511012077331545,12.511012077331545,0
2007-10-17,12.49776554107666,12.497765541076662,12.497765541076662,12.497765541076662,0
2007-10-18,12.448092460632324,12.448092460632324,12.448092460632324,12.448092460632324,0
2007-10-19,12.153359413146973,12.153359413146973,12.153359413146973,12.153359413146973,0
2007-10-22,12.193102836608887,12.193102836608887,12.193102836608887,12.193102836608887,0
2007-10-23,12.259334564208984,12.259334564208984,12.259334564208984,12.259334564208984,0
2007-10-24,12.249397277832031,12.249397277832031,12.249397277832031,12.249397277832031,0
2007-10-25,12.265957832336426,12.265957832336428,12.265957832336428,12.265957832336428,0
2007-10-26,12.424909591674805,12.424909591674805,12.424909591674805,12.424909591674805,0
2007-10-29,12.471269607543945,12.471269607543945,12.471269607543945,12.471269607543945,0
2007-10-30,12.401726722717285,12.401726722717287,12.401726722717287,12.401726722717287,0
2007-10-31,12.514323234558105,12.514323234558105,12.514323234558105,12.514323234558105,0
2007-11-01,12.1831693649292,12.183169364929201,12.183169364929201,12.183169364929201,0
2007-11-02,12.179849624633789,12.179849624633789,12.179849624633789,12.179849624633789,0
2007-11-05,12.126869201660156,12.126869201660156,12.126869201660156,12.126869201660156,0
2007-11-06,12.26264762878418,12.26264762878418,12.26264762878418,12.26264762878418,0
2007-11-07,11.911624908447266,11.911624908447266,11.911624908447266,11.911624908447266,0
2007-11-08,11.938109397888184,11.938109397888184,11.938109397888184,11.938109397888184,0
2007-11-09,11.789095878601074,11.789095878601074,11.789095878601074,11.789095878601074,0
2007-11-12,11.709614753723145,11.709614753723146,11.709614753723146,11.709614753723146,0
2007-11-13,12.007652282714844,12.007652282714844,12.007652282714844,12.007652282714844,0
2007-11-14,11.92486572265625,11.92486572265625,11.92486572265625,11.92486572265625,0
2007-11-15,11.759288787841797,11.759288787841797,11.759288787841797,11.759288787841797,0
2007-11-16,11.802337646484375,11.802337646484375,11.802337646484375,11.802337646484375,0
2007-11-19,11.580466270446777,11.580466270446777,11.580466270446777,11.580466270446777,0
2007-11-20,11.587087631225586,11.587087631225586,11.587087631225586,11.587087631225586,0
2007-11-21,11.424821853637695,11.424821853637695,11.424821853637695,11.424821853637695,0
2007-11-23,11.606956481933594,11.606956481933594,11.606956481933594,11.606956481933594,0
2007-11-26,11.345346450805664,11.345346450805664,11.345346450805664,11.345346450805664,0
2007-11-27,11.500988006591797,11.500988006591797,11.500988006591797,11.500988006591797,0
2007-11-28,11.81226921081543,11.81226921081543,11.81226921081543,11.81226921081543,0
2007-11-29,11.81889820098877,11.81889820098877,11.81889820098877,11.81889820098877,0
2007-11-30,11.954668998718262,11.954668998718262,11.954668998718262,11.954668998718262,0
2007-12-03,11.89175033569336,11.89175033569336,11.89175033569336,11.89175033569336,0
2007-12-04,11.8222074508667,11.8222074508667,11.8222074508667,11.8222074508667,0
2007-12-05,12.00434684753418,12.00434684753418,12.00434684753418,12.00434684753418,0
2007-12-06,12.166608810424805,12.166608810424805,12.166608810424805,12.166608810424805,0
